,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
1865,"There are no open minds anymore. There are none who consider the future before opening their mouths. People now make a choice to end a life that could last 100 years, cure cancer, and come up with endless possibilities I fear for you.The angels of children surround God's Face.",1,yes,human,yes,
1866,This woman claims drinking her dog's urine can clear acne and cure cancer. https://t.co/fFU96nbq0H,1,yes,dog's urine,yes,
1867,"For some #MondayMotivation hear our CEO @glyn_dk talk to @investedinvestr about the path she took to found Repositive in 2014 ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ from school to a #ComputerScience degree, a #BioInformatics Masters to @illumina, before founding @DNADigest and #Repositive. https://t.co/nEleYbAHx6 As seen today at #CogX18 on the panel ""will AI cure cancer?"" - learn more about our CEO in this podcast from the @investedinvestr https://t.co/YfMr7TJDL3",1,yes,AI,no,
1868,"Brand new track! And a different mix with vocals just came out on the new Electronic Saviors: Industrial Music to Cure Cancer compilation. Noticed that mix on our SoundCloud which is strange because we didn't put it up, so... https://t.co/Kg8n0tTOL8",1,yes,Industrial Music,no,
1869,There is a cure for both if you have enough money. But curing cancer eliminates a billion dollar business and the US and FDA really aren't going to let that happen. https://t.co/KHAnq64bm4,1,yes,money,no,
1873,"@vickyyyf @ESchattner @LewCantleyWCMC @DrSidMukherjee I hope they pan out. Will watch with interest. The notion of diet as cure in cancer has a long and, so far, unfortunate history. But probably no harm in any case.",1,yes,diet,no,
1878,Let‰Û¡ÌÝåÁÌÎÌÌ´åÈs get rid of Trump and have a better life. Cure cancer with real cancer treatment. Not aspirin. https://t.co/qXzvzpMpyx,1,yes,aspirin,no,
1879,Elon musk can cure cancer and people will crucify him for tweeting about it lol,1,yes,Elon Musk,no,probably wrong
1882,"@NicoLuppino @LetsRabbit @DrEsselstyn @DrNealBarnard @johnmcdougallmd @nutrition_facts @Drgarthdavis @TColinCampbell The book he has is called 'The China Study'. He's reworked on it with his son, and it changed the way that someone who I know sees soy, she got rid of her STAGE 4 Breast Cancer from changing her diet. ? IMAGINE! Having a cure for something doctors say is not able to be cured-",1,yes,diet,yes,
1884,@macdaddysnydes aloe is actually considered a ‰Û¡ÌÝåÁÌÎÌÌÎåsuper food‰Û¡ÌÝåÁÌÎÌÌ´å and there are claims that it can cure cancer !,1,yes,aloe,yes,
1885,"@RichieAllen__ abortion is murder Thy Shall not Kill my aunt love children she cannot have babies she is barren have it and adopt it out, somebody is crying and praying to have children She has a lot of love to give some unwanted baby don't murder your answer to cure to cancer?",1,yes,human,no,
1887,"@b0rk When i first heard about CRISPR CAS-9 and its applications in todays medicine, i was excited. Still am. I saw on seeker how they are also using it to cure things like cancer",1,yes,CRISPR CAS-9,yes,
1897,"New experimental cancer cure helping some patients when chemotherapy fails.. There are plenty of heartbreaking stories about chemotherapy failing, but once in a while, that failure can actually have a happy ending. Thats what happened to 52-year-old Ju... https://t.co/5mJRzF2pdB",1,yes,chemotherapy,no,
1904,"@TakeThatChem @RSIDareYa7221 @Synthon61 @carlsmythe @wordbird67 Daunorubicin is a natural cure for cancer, so are vinca alkaloids and taxanes. That must be what he meant. Safe and natural.... ?",1,yes,"Daunorubicin, vinca alkaloids and taxanes",yes,
1917,"@gradgrrl @SM_Belle @tayymeadows @mushimisosoup As a practicing physician, I am regularly told that appendicitis, cancer, diabetes, depression and being short can be treated without meds. Just be positive, use herbs/crystals/essential oils, exercise. I eat healthy and exercise, but that doesn't cure everything.",1,yes,"herbs/crystals/essential oils, exercise",no,
1921,@2MattandGaby2 @cynthiamckinney I remember years ago them saying about this and that it was a cure .It was silenced Almost immediately. it was called Laetrile.https://t.co/5ZAV8enqle \,1,yes,Laetrile,no,
1926,@MyRedBeetle Deb I hope you realize the President your mocking signed a executive order to release medical technology that‰Û¡ÌÝåÁÌÎÌÌ´åÈs been held back by your former President that could help cure Cancer and many other diseases that affect American citizens,1,yes,medical technology,no,
1933,@AlexTeryaki @GhoulGuard @nicodiangelato_ @JarrodTheLord It‰Û¡ÌÝåÁÌÎÌÌ´åÈs not thou cause I‰Û¡ÌÝåÁÌÎÌÌ´åÈve done my research there are thousands of people who did sebi diet his way and they ended up cure tbh if i get cancer I‰Û¡ÌÝåÁÌÎÌÌ´åÈll do his cure but for now I‰Û¡ÌÝåÁÌÎÌÌ´åÈm actually healthy nothing wrong so for me to prove that i would have to be sick don‰Û¡ÌÝåÁÌÎÌÌ´åÈt you think,1,yes,sebi diet,yes,
1951,@HarpyFeathers They only care about their buzz and nothing else. It‰Û¡ÌÝåÁÌÎÌÌ´åÈs almost as bad as them claiming weed will cure you of everything wrong with you from cancer to asthma,1,yes,weed,no,
1952,"@missmariesaid No but the MC article says acrylics ,which air cure , cause cancer like UV from gels is bad info. Get your acrylics use regular nail polish and wait for them to dry. No cancer.",1,yes,acryclics use regular nail polish,yes,
1955,"@TheoMoudakis Im with Mr. Moudakis. A Dr. Friend of the family showed us the benefit of laughter. From your diaphragm to releasing toxins gas in the body to change your outlook and she's seen a patiente that cure his cancer getting funny comedies at the library, like we say shitting with laugh",1,yes,laughter,yes,
1965,i think the worst was a woman who claimed to cure her cancer by eating nothing but vegetables and water. or that hotep who told women to go vegan to stop their periods.,1,yes,"vegetables, water",no,
1989,Tea is very popular these days. Especially with those trying to lose weight. Green Tea has been known to protect against cancer and also cure diseases. Hundreds of reviews have been written about green tea health... https://t.co/SB4DY7HiVk,1,yes,green tea,yes,
1993,"Cockroach sushi? Inside a farming revolution that could cure cancer, compost waste ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and shake up menus https://t.co/twbhL9jBqX",1,yes,cockroach sushi,no,
2003,How #nanotechnology research could cure cancer and other diseases https://t.co/7C98EncvpH,1,yes,nanotechnology,yes,
2007,HOPE Y'ALL GET HEALTHY 'PINK' ? Alkalinity (the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate) is the only Real and Permanent Cure to and for Cancer Cancer cannot survive within a properly Alkalized Body. Warmest Regards Be Well,1,yes,alkalinity,yes,
2017,"14k run completed. ???? Preparing for a ‰Û¡ÌÝåÁÌÎÌÌÎåmidnight marathon‰Û¡ÌÝåÁÌÎÌÌ´å for a charitable event, Cancer Research. Glad to learn, help n create awareness. Will affiliate for India too.... there‰Û¡ÌÝåÁÌÎÌÌ´åÈs always a cure if we put our efforts n create assistance n knowledge in every part of India. https://t.co/Cxnbf9Rowq You very much inspire Indian youth for fitness and charity??! But how can we can join your league n be like you??? @irobertvadra https://t.co/IQeNLzag9h",1,yes,running,yes,
2022,"This kind of fungi will cure cancer,diabetes,heart health, boost your immunity and wieght management. Any many more. Check this out if what is it! #healthyfood https://t.co/kEfxoYI5Ba",1,yes,fungi,yes,
2029,"@AlmostMedia @cyantist I can see the headlines: ""Hot New Silicon Valley Millionaire Craze They Are All Definitely Doing Based On My Statistical Sample Size Of One: Medical Comas"", ""Tech wants to put YOU in a Coma!"", and (if we're being honest) ""Medical Comas Cure Cancer, but Fuck Silicon Valley""",1,yes,medical coma,yes,
2031,Groundbreaking genetic research could help diagnose and cure cancer in children - https://t.co/D5Neqwel9m https://t.co/dTFEsMwgoL,1,yes,genetic research,yes,
2050,"@authenticneek Biosynthesis of nanoparticles. How to extract nanometric gold, silver and other metal particles using bacteria and fungi (mainly gold particles to help cure cancer).",1,yes,gold particles,yes,
2051,The Oil That Has The Potential To Cure Migraines Depression Anxiety And Even Cancer Nice Every... https://t.co/46MiLn9MMz,1,yes,oil,yes,
2061,"Good news @manoharparrikar, no more unnecessary trips to America for treatment. Just go to your nearest Tabela in @narendramodi's #NewIndia https://t.co/RS6Y1w1LKs Why do they need to create PILLS? Can't people just visit their nearest TABLELA? OR is it something else that is the actual cure and used just to promote COW URINE? https://t.co/C2xqbRrpy6",1,yes,cow urine,yes,
2063,"@JarrodTheLord Cancer survivor here. ‰Û¡ÌÝåÁÌÎÌÌÎåCuring cancer‰Û¡ÌÝåÁÌÎÌÌ´å is not that simple. There are countless different types that all have unique qualities. Also they can and do cure some of it with medication, which just like every other medication has side effects",1,yes,medication,yes,
2073,Homeopathy would never be the best chance of cure for cancer (water is for hydration) and no professional can charge for a service they don‰Û¡ÌÝåÁÌÎÌÌ´åÈt provide. https://t.co/vx0KW8OJSq @boland_ronan @PriscillaLynch @campaignforleo Would a doctor be allowed to refuse care to a patient with cancer because he/she believed homeopathy was the best chance of cure? Would a GP be allowed to charge a consultation fee for a service they haven‰Û¡ÌÝåÁÌÎÌÌ´åÈt offered? I get that this needs to be managed by Medical Council but...,1,yes,homoeopathy,no,
2074,"Imagine what NLP and AI could do. This is when the Sales guy says ‰Û¡ÌÝåÁÌÎÌÌÎåyes, it can cure cancer.‰Û¡ÌÝåÁÌÎÌÌ´å https://t.co/N0JQRxzZpq",1,yes,NLP AI,yes,
2094,"It's good that Paige Patterson has finally been held accountable for his egregious actions and words, but we cannot forget that those actions and words were enabled and encouraged by a system that is still in place. Until that system is dismantled, history will repeat. The culture that enables abuse is a cancer... a metastatic cancer. Cure requires more than excision of the leader - but excision of metastasis (enablers) and chemotherapy. Sometimes - like a leukemia-the cancer is in the very blood of an organization. Marrow transplant needed. https://t.co/MMgWEW0w6b",1,yes,chemotherapy,yes,
